Secretaria de Atenção Primária à Saúde - SAPS/MS 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
"Competência: AGO/2024, JUL/2024, JUN/2024, MAI/2024, ABR/2024, MAR/2024, FEV/2024, JAN/2024."
Estado: RS.
Tipo de Produção: Atendimento Individual.
"Tipo de Atendimento: Cons. agen. prog/cuid. cont., Consulta agendada, Dem. esp. esc. inicial/orient., Dem. esp. consulta no dia."
Probl/ Condição Avaliada: Puericultura.
Faixa Etária: De 0 até 7 dias.


Uf;Ibge;Municipio;Puericultura;
RS;431065;ITATI;1;
RS;431040;INDEPENDÊNCIA;3;
RS;431590;RODEIO BONITO;2;
RS;431175;MANOEL VIANA;15;
RS;431330;NOVA PRATA;65;
RS;432285;VESPASIANO CORREA;1;
RS;430915;GRAMADO XAVIER;1;
RS;431177;MAQUINÉ;1;
RS;431170;MACHADINHO;1;
RS;432255;VANINI;5;
RS;430905;GLORINHA;7;
RS;431540;REDENTORA;2;
RS;431445;PINHAL;2;
RS;430940;GUAPORÉ;3;
RS;432370;VISTA GAÚCHA;10;
RS;430545;CIDREIRA;10;
RS;430597;COXILHA;6;
RS;432120;TAQUARA;137;
RS;430110;ARROIO DOS RATOS;7;
RS;432055;SERTÃO SANTANA;1;
RS;432135;TAVARES;1;
RS;431113;JARI;1;
RS;430250;BOSSOROCA;8;
RS;430650;DOM FELICIANO;2;
RS;432380;XANGRI-LÁ;8;
RS;431164;LINHA NOVA;23;
RS;430057;ALTO FELIZ;9;
RS;431173;MAMPITUBA;1;
RS;432330;VILA FLORES;4;
RS;432170;TRÊS COROAS;40;
RS;431290;NOVA BASSANO;6;
RS;432218;TUPANCI DO SUL;3;
RS;431300;NOVA BRÉSCIA;2;
RS;431150;LAVRAS DO SUL;13;
RS;431245;MORRO REDONDO;15;
RS;430740;ESMERALDA;4;
RS;431043;IPÊ;17;
RS;430047;ALMIRANTE TAMANDARÉ DO SUL;16;
RS;432040;SERAFINA CORRÊA;14;
RS;432225;TUPANDI;5;
RS;430705;ERNESTINA;8;
RS;430510;CAXIAS DO SUL;550;
RS;431515;PROGRESSO;10;
RS;431010;IGREJINHA;137;
RS;430645;DOIS LAJEADOS;6;
RS;431530;QUARAÍ;16;
RS;431090;JACUTINGA;1;
RS;430367;CAMPESTRE DA SERRA;3;
RS;430860;GARIBALDI;45;
RS;431830;SÃO GABRIEL;87;
RS;432166;TRÊS CACHOEIRAS;34;
RS;431973;SÃO VALÉRIO DO SUL;1;
RS;430513;CERRO BRANCO;10;
RS;430490;CASCA;3;
RS;432335;VILA LÂNGARO;2;
RS;431936;SÃO PEDRO DAS MISSÕES;3;
RS;432183;TRÊS FORQUILHAS;1;
RS;430755;ESTAÇÃO;5;
RS;431447;PINHAL GRANDE;3;
RS;430235;BOM PRINCÍPIO;37;
RS;430980;IBIAÇÁ;5;
RS;431710;SANT'ANA DO LIVRAMENTO;49;
RS;431127;LAGOA DOS TRÊS CANTOS;3;
RS;431337;NOVA SANTA RITA;33;
RS;431690;SANTA MARIA;243;
RS;431900;SÃO MARCOS;24;
RS;430462;CAPÃO BONITO DO SUL;7;
RS;431333;NOVA RAMADA;6;
RS;430063;AMARAL FERRADOR;1;
RS;431844;SÃO JORGE;1;
RS;430080;ANTÔNIO PRADO;12;
RS;430360;CAMBARÁ DO SUL;1;
RS;430865;GARRUCHOS;1;
RS;430210;BENTO GONÇALVES;369;
RS;431179;MARATÁ;5;
RS;431238;MONTE BELO DO SUL;7;
RS;430230;BOM JESUS;35;
RS;431400;PARAÍ;12;
RS;430420;CANDELÁRIA;60;
RS;430163;BALNEÁRIO PINHAL;1;
RS;430965;HULHA NEGRA;18;
RS;430535;CHARQUEADAS;32;
RS;430107;ARROIO DO PADRE;10;
RS;431975;SÃO VENDELINO;6;
RS;432240;URUGUAIANA;170;
RS;432020;SEBERI;14;
RS;431760;SANTO ANTÔNIO DA PATRULHA;65;
RS;430700;ERECHIM;176;
RS;431415;PAVERAMA;24;
RS;431413;PAULO BENTO;5;
RS;430520;CERRO LARGO;48;
RS;432162;TRAVESSEIRO;9;
RS;430825;FLORIANO PEIXOTO;3;
RS;431403;PARECI NOVO;4;
RS;431265;NÃO-ME-TOQUE;9;
RS;432057;SETE DE SETEMBRO;4;
RS;430175;BARÃO DO TRIUNFO;1;
RS;432230;TUPARENDI;13;
RS;430830;FONTOURA XAVIER;4;
RS;431642;SAGRADA FAMÍLIA;9;
RS;431130;LAGOA VERMELHA;27;
RS;430613;CRUZALTENSE;1;
RS;430320;CACIQUE DOBLE;4;
RS;431225;MINAS DO LEÃO;2;
RS;431267;NICOLAU VERGUEIRO;2;
RS;430045;ALEGRIA;4;
RS;430550;CIRÍACO;9;
RS;430070;ANTA GORDA;8;
RS;431595;ROLADOR;4;
RS;431725;SANTA TEREZA;2;
RS;430300;CACHOEIRA DO SUL;24;
RS;431850;SÃO JOSÉ DO NORTE;42;
RS;431390;PANAMBI;225;
RS;431205;MARQUES DE SOUZA;6;
RS;430205;BENJAMIN CONSTANT DO SUL;2;
RS;430180;BARRACÃO;13;
RS;431790;SANTO CRISTO;111;
RS;430745;ESPERANÇA DO SUL;1;
RS;430930;GUAÍBA;94;
RS;432067;SINIMBU;12;
RS;432163;TRÊS ARROIOS;2;
RS;431849;SÃO JOSÉ DO INHACORÁ;4;
RS;431162;LINDOLFO COLLOR;9;
RS;431570;RIO PARDO;147;
RS;431454;PINTO BANDEIRA;7;
RS;430222;BOA VISTA DO CADEADO;9;
RS;430583;COQUEIRO BAIXO;8;
RS;430310;CACHOEIRINHA;89;
RS;431935;SÃO PEDRO DA SERRA;6;
RS;431532;QUEVEDOS;2;
RS;430910;GRAMADO;91;
RS;430430;CÂNDIDO GODÓI;6;
RS;430460;CANOAS;676;
RS;431560;RIO GRANDE;217;
RS;430675;DOUTOR RICARDO;10;
RS;431449;PINHEIRINHO DO VALE;2;
RS;430066;ANDRÉ DA ROCHA;1;
RS;432253;VALE DO SOL;15;
RS;431480;PORTÃO;38;
RS;431240;MONTENEGRO;97;
RS;431490;PORTO ALEGRE;3.416;
RS;431545;RELVADO;1;
RS;431843;SÃO JOÃO DO POLÊSINE;1;
RS;430512;CERRITO;9;
RS;431805;SÃO DOMINGOS DO SUL;1;
RS;431440;PELOTAS;353;
RS;431420;PEDRO OSÓRIO;6;
RS;430140;ARVOREZINHA;6;
RS;431295;NOVA BOA VISTA;4;
RS;432215;TUNAS;3;
RS;431000;IBIRUBÁ;80;
RS;432180;TRÊS DE MAIO;73;
RS;431220;MAXIMILIANO DE ALMEIDA;1;
RS;430120;ARROIO DO TIGRE;6;
RS;430340;CAIÇARA;14;
RS;430060;ALVORADA;87;
RS;430637;DILERMANDO DE AGUIAR;2;
RS;430480;CARLOS BARBOSA;44;
RS;431350;OSÓRIO;58;
RS;430790;FARROUPILHA;125;
RS;431446;PINHAL DA SERRA;6;
RS;430087;ARARICÁ;11;
RS;430435;CANDIOTA;2;
RS;431862;SÃO JOSÉ DOS AUSENTES;9;
RS;430786;FAGUNDES VARELA;8;
RS;430170;BARÃO DE COTEGIPE;7;
RS;431517;PROTÁSIO ALVES;5;
RS;430530;CHAPADA;18;
RS;430461;CANUDOS DO VALE;1;
RS;430330;CAIBATÉ;9;
RS;431640;ROSÁRIO DO SUL;12;
RS;431514;PRESIDENTE LUCENA;11;
RS;430710;HERVAL;7;
RS;430610;CRUZ ALTA;82;
RS;431342;NOVO MACHADO;2;
RS;432000;SAPUCAIA DO SUL;167;
RS;431650;SALVADOR DO SUL;20;
RS;430471;CARAÁ;6;
RS;431915;SÃO MIGUEL DAS MISSÕES;1;
RS;431070;ITATIBA DO SUL;1;
RS;430770;ESTEIO;63;
RS;431643;SALDANHA MARINHO;7;
RS;431301;NOVA CANDELÁRIA;2;
RS;430585;COQUEIROS DO SUL;3;
RS;430469;CAPITÃO;7;
RS;431280;NOVA ARAÇÁ;24;
RS;431950;SÃO SEBASTIÃO DO CAÍ;20;
RS;431890;SÃO LUIZ GONZAGA;66;
RS;431971;SÃO VALENTIM DO SUL;3;
RS;432220;TUPANCIRETÃ;44;
RS;431513;POUSO NOVO;11;
RS;430676;ELDORADO DO SUL;33;
RS;431730;SANTA VITÓRIA DO PALMAR;32;
RS;430020;AJURICABA;11;
RS;430050;ALPESTRE;7;


Fonte: Sistema de Informação em Saúde para a Atenção Básica - SISAB;
Dado gerado em: 29 de Abril de 2025 - 15:42h
