Secretaria de Atenção Primária à Saúde - SAPS/MS 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
"Competência: AGO/2024, JUL/2024, JUN/2024, MAI/2024, ABR/2024, MAR/2024, FEV/2024, JAN/2024."
Estado: RS.
Tipo de Produção: Atendimento Individual.
"Tipo de Atendimento: Cons. agen. prog/cuid. cont., Consulta agendada, Dem. esp. esc. inicial/orient., Dem. esp. consulta no dia."
Probl/ Condição Avaliada: Puerpério (até 42 dias).


Uf;Ibge;Municipio;Puerpério (até 42 dias);
RS;432040;SERAFINA CORRÊA;7;
RS;432225;TUPANDI;22;
RS;431515;PROGRESSO;13;
RS;431010;IGREJINHA;364;
RS;431530;QUARAÍ;120;
RS;430860;GARIBALDI;2;
RS;431830;SÃO GABRIEL;255;
RS;430513;CERRO BRANCO;11;
RS;432335;VILA LÂNGARO;1;
RS;430490;CASCA;1;
RS;431936;SÃO PEDRO DAS MISSÕES;7;
RS;430755;ESTAÇÃO;1;
RS;430200;BARROS CASSAL;11;
RS;432166;TRÊS CACHOEIRAS;11;
RS;431337;NOVA SANTA RITA;226;
RS;430980;IBIAÇÁ;3;
RS;431710;SANT'ANA DO LIVRAMENTO;55;
RS;431127;LAGOA DOS TRÊS CANTOS;8;
RS;431142;LAJEADO DO BUGRE;1;
RS;430865;GARRUCHOS;1;
RS;431690;SANTA MARIA;67;
RS;431900;SÃO MARCOS;11;
RS;431333;NOVA RAMADA;3;
RS;432026;SEGREDO;2;
RS;430080;ANTÔNIO PRADO;47;
RS;430360;CAMBARÁ DO SUL;7;
RS;430230;BOM JESUS;5;
RS;431400;PARAÍ;6;
RS;430420;CANDELÁRIA;226;
RS;430210;BENTO GONÇALVES;569;
RS;431760;SANTO ANTÔNIO DA PATRULHA;15;
RS;431450;PINHEIRO MACHADO;14;
RS;430700;ERECHIM;646;
RS;430535;CHARQUEADAS;10;
RS;430107;ARROIO DO PADRE;2;
RS;431975;SÃO VENDELINO;1;
RS;432240;URUGUAIANA;296;
RS;432020;SEBERI;3;
RS;432230;TUPARENDI;4;
RS;431415;PAVERAMA;7;
RS;431413;PAULO BENTO;2;
RS;430520;CERRO LARGO;6;
RS;430825;FLORIANO PEIXOTO;2;
RS;431265;NÃO-ME-TOQUE;36;
RS;431130;LAGOA VERMELHA;238;
RS;430830;FONTOURA XAVIER;9;
RS;431642;SAGRADA FAMÍLIA;1;
RS;430843;FORQUETINHA;2;
RS;430320;CACIQUE DOBLE;1;
RS;431225;MINAS DO LEÃO;11;
RS;431267;NICOLAU VERGUEIRO;4;
RS;430045;ALEGRIA;3;
RS;430690;ENCRUZILHADA DO SUL;2;
RS;431790;SANTO CRISTO;8;
RS;430070;ANTA GORDA;3;
RS;431725;SANTA TEREZA;1;
RS;430300;CACHOEIRA DO SUL;5;
RS;431850;SÃO JOSÉ DO NORTE;92;
RS;431390;PANAMBI;281;
RS;430180;BARRACÃO;40;
RS;430745;ESPERANÇA DO SUL;5;
RS;430930;GUAÍBA;413;
RS;432067;SINIMBU;2;
RS;431920;SÃO NICOLAU;1;
RS;432163;TRÊS ARROIOS;2;
RS;431417;PEDRAS ALTAS;8;
RS;431849;SÃO JOSÉ DO INHACORÁ;2;
RS;431162;LINDOLFO COLLOR;47;
RS;431570;RIO PARDO;67;
RS;431125;LAGOÃO;1;
RS;430310;CACHOEIRINHA;593;
RS;431935;SÃO PEDRO DA SERRA;4;
RS;431532;QUEVEDOS;2;
RS;430910;GRAMADO;198;
RS;430460;CANOAS;40;
RS;431560;RIO GRANDE;493;
RS;431449;PINHEIRINHO DO VALE;2;
RS;430430;CÂNDIDO GODÓI;5;
RS;431780;SANTO AUGUSTO;3;
RS;431520;PUTINGA;2;
RS;430880;GENERAL CÂMARA;6;
RS;430595;COTIPORÃ;3;
RS;430960;HORIZONTINA;81;
RS;430730;ERVAL SECO;3;
RS;431349;NOVO BARREIRO;7;
RS;430240;BOM RETIRO DO SUL;6;
RS;430587;CORONEL BARROS;2;
RS;432030;SELBACH;14;
RS;431937;SÃO PEDRO DO BUTIÁ;1;
RS;432035;SENTINELA DO SUL;2;
RS;431262;MULITERNO;1;
RS;431270;NONOAI;5;
RS;431339;NOVO CABRAIS;1;
RS;431120;JÚLIO DE CASTILHOS;2;
RS;430780;ESTRELA;5;
RS;432085;TABAÍ;3;
RS;431442;PICADA CAFÉ;6;
RS;431320;NOVA PETRÓPOLIS;69;
RS;431750;SANTO ÂNGELO;20;
RS;431123;LAGOA BONITA DO SUL;2;
RS;432250;VACARIA;409;
RS;430805;FAXINALZINHO;2;
RS;430100;ARROIO DO MEIO;5;
RS;431110;JAGUARI;1;
RS;430720;ERVAL GRANDE;1;
RS;431335;NOVA ROMA DO SUL;2;
RS;431085;JABOTICABA;4;
RS;430185;BARRA DO GUARITA;3;
RS;430055;ALTO ALEGRE;2;
RS;432195;TRINDADE DO SUL;6;
RS;431033;IMBÉ;7;
RS;430370;CAMPINA DAS MISSÕES;2;
RS;432147;TIRADENTES DO SUL;3;
RS;431755;SANTO ANTÔNIO DO PALMA;23;
RS;431870;SÃO LEOPOLDO;625;
RS;430750;ESPUMOSO;5;
RS;431030;ILÓPOLIS;5;
RS;431020;IJUÍ;436;
RS;431346;NOVO XINGU;3;
RS;430160;BAGÉ;32;
RS;431160;LIBERATO SALZANO;9;
RS;431250;MOSTARDAS;5;
RS;430670;DONA FRANCISCA;7;
RS;431700;SANTANA DA BOA VISTA;6;
RS;431610;RONDA ALTA;2;
RS;430640;DOIS IRMÃOS;221;
RS;431960;SÃO SEPÉ;21;
RS;432300;VIAMÃO;63;
RS;430680;ENCANTADO;1;
RS;430885;GENTIL;1;
RS;431430;PEJUÇARA;4;
RS;430090;ARATIBA;25;
RS;431140;LAJEADO;88;
RS;431460;PIRATINI;26;
RS;432032;SENADOR SALGADO FILHO;28;
RS;431740;SANTIAGO;3;


Fonte: Sistema de Informação em Saúde para a Atenção Básica - SISAB;
Dado gerado em: 29 de Abril de 2025 - 15:16h
