Secretaria de Atenção Primária à Saúde - SAPS/MS 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
"Competência: AGO/2024, JUL/2024, JUN/2024, MAI/2024, ABR/2024, MAR/2024, FEV/2024, JAN/2024."
Estado: RS.
Tipo de Produção: Visita Domiciliar.
Motivo da Visita: Acomp.  Recém-nascido.
Faixa Etária: De 0 até 7 dias.


Uf;Ibge;Municipio;Acomp.  Recém-nascido;
RS;431510;PORTO XAVIER;2;
RS;430890;GETÚLIO VARGAS;3;
RS;432149;TOROPI;2;
RS;431405;PAROBÉ;11;
RS;430580;CONSTANTINA;2;
RS;431360;PAIM FILHO;1;
RS;432377;WESTFALIA;1;
RS;432210;TUCUNDUVA;3;
RS;430187;BARRA DO QUARAÍ;5;
RS;430440;CANELA;1;
RS;430655;DOM PEDRO DE ALCÂNTARA;1;
RS;430810;FELIZ;11;
RS;431395;PANTANO GRANDE;3;
RS;431910;SÃO MARTINHO;2;
RS;432010;SARANDI;4;
RS;431675;SANTA CLARA DO SUL;4;
RS;430390;CAMPO BOM;73;
RS;431210;MATA;2;
RS;432132;TAQUARUÇU DO SUL;4;
RS;431842;SÃO JOÃO DA URTIGA;4;
RS;431930;SÃO PAULO DAS MISSÕES;2;
RS;430350;CAMAQUÃ;7;
RS;431237;MONTE ALEGRE DOS CAMPOS;2;
RS;432310;VICENTE DUTRA;4;
RS;431940;SÃO PEDRO DO SUL;5;
RS;430540;CHIAPETTA;4;
RS;430850;FREDERICO WESTPHALEN;2;
RS;430990;IBIRAIARAS;2;
RS;431242;MORMAÇO;1;
RS;431470;PLANALTO;3;
RS;432190;TRÊS PASSOS;15;
RS;430558;COLINAS;5;
RS;430495;CASEIROS;3;
RS;431410;PASSO FUNDO;21;
RS;430463;CAPÃO DA CANOA;10;
RS;431215;MATO LEITÃO;23;
RS;431340;NOVO HAMBURGO;110;
RS;432270;VERA CRUZ;8;
RS;430632;DERRUBADAS;1;
RS;430245;BOQUEIRÃO DO LEÃO;3;
RS;432060;SEVERIANO DE ALMEIDA;1;
RS;430900;GIRUÁ;11;
RS;430064;AMETISTA DO SUL;1;
RS;431402;PARAÍSO DO SUL;2;
RS;431275;NOVA ALVORADA;4;
RS;432290;VIADUTOS;1;
RS;431505;PORTO MAUÁ;1;
RS;431310;NOVA PALMA;1;
RS;431365;PALMARES DO SUL;1;
RS;432140;TENENTE PORTELA;2;
RS;430600;CRISSIUMAL;5;
RS;430040;ALEGRETE;18;
RS;431680;SANTA CRUZ DO SUL;17;
RS;431180;MARAU;48;
RS;432145;TEUTÔNIA;2;
RS;432100;TAPERA;10;
RS;432080;SOLEDADE;6;
RS;430223;BOA VISTA DO INCRA;7;
RS;431770;SANTO ANTÔNIO DAS MISSÕES;5;
RS;431660;SANANDUVA;1;
RS;432234;UBIRETAMA;1;
RS;430105;ARROIO DO SAL;2;
RS;431670;SANTA BÁRBARA DO SUL;1;
RS;431840;SÃO JERÔNIMO;9;
RS;431046;IPIRANGA DO SUL;1;
RS;430605;CRISTAL;8;
RS;432232;TURUÇU;2;
RS;431535;QUINZE DE NOVEMBRO;2;
RS;430544;CHUVISCA;1;
RS;430760;ESTÂNCIA VELHA;6;
RS;430280;CAÇAPAVA DO SUL;43;
RS;431555;RIO DOS ÍNDIOS;1;
RS;430270;BUTIÁ;2;


Fonte: Sistema de Informação em Saúde para a Atenção Básica - SISAB;
Dado gerado em: 29 de Abril de 2025 - 15:17h
