Secretaria de Atenção Primária à Saúde - SAPS/MS 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
"Competência: DEZ/2024, NOV/2024, OUT/2024, SET/2024, AGO/2024, JUL/2024, JUN/2024, MAI/2024, ABR/2024, MAR/2024, FEV/2024, JAN/2024."
Estado: RS.
Tipo de Produção: Procedimento.
"SIGTAP: (0214010040) Teste Rapido Para Deteccao De Hiv Na Gestante Ou Pai/Parceiro, (0214010082) Teste Rapido Para Sifilis Na Gestante Ou Pai/Parceiro, (0214010090) Teste Rapido Para Deteccao De Hepatite C, (0301010234) Consulta Pre-Natal Do Parceiro, (0214010066) Teste Rapido De Gravidez."


Uf;Ibge;Municipio;(0214010040) Teste Rapido Para;(0214010082) Teste Rapido Para;(0214010090) Teste Rapido Para;(0301010234) Consulta Pre-Nata;(0214010066) Teste Rapido De G;
RS;431447;PINHAL GRANDE;43;42;48;12;0;
RS;431142;LAJEADO DO BUGRE;26;27;104;7;1;
RS;431337;NOVA SANTA RITA;315;306;725;15;277;
RS;431127;LAGOA DOS TRÊS CANTOS;11;10;16;1;0;
RS;430980;IBIAÇÁ;18;18;37;2;8;
RS;431710;SANT'ANA DO LIVRAMENTO;986;960;4.180;85;722;
RS;430235;BOM PRINCÍPIO;81;82;336;5;55;
RS;430462;CAPÃO BONITO DO SUL;20;20;21;1;10;
RS;431333;NOVA RAMADA;0;0;0;13;10;
RS;430080;ANTÔNIO PRADO;105;120;481;26;75;
RS;430865;GARRUCHOS;11;7;110;8;8;
RS;431900;SÃO MARCOS;222;221;723;17;16;
RS;430360;CAMBARÁ DO SUL;79;70;515;14;0;
RS;431844;SÃO JORGE;13;17;48;17;0;
RS;431690;SANTA MARIA;2.099;2.105;13.253;238;6.006;
RS;432026;SEGREDO;38;38;130;8;8;
RS;430063;AMARAL FERRADOR;23;23;28;9;10;
RS;431179;MARATÁ;11;10;95;8;10;
RS;431400;PARAÍ;0;0;0;12;0;
RS;430965;HULHA NEGRA;99;99;118;8;0;
RS;430210;BENTO GONÇALVES;1.707;1.708;8.245;477;595;
RS;431238;MONTE BELO DO SUL;0;0;40;2;1;
RS;430420;CANDELÁRIA;560;552;504;82;276;
RS;430230;BOM JESUS;214;216;306;7;23;
RS;430163;BALNEÁRIO PINHAL;50;56;302;0;121;
RS;430535;CHARQUEADAS;284;265;2.009;5;65;
RS;431041;INHACORÁ;32;28;95;8;0;
RS;431450;PINHEIRO MACHADO;137;131;414;12;130;
RS;432020;SEBERI;280;280;649;12;3;
RS;432050;SERTÃO;67;65;82;11;6;
RS;430700;ERECHIM;0;90;4.187;159;2.171;
RS;430107;ARROIO DO PADRE;7;7;9;1;0;
RS;432240;URUGUAIANA;652;644;10.337;39;1.268;
RS;431760;SANTO ANTÔNIO DA PATRULHA;513;504;1.742;15;798;
RS;431975;SÃO VENDELINO;12;12;61;1;7;
RS;431520;PUTINGA;62;62;196;43;13;
RS;431780;SANTO AUGUSTO;159;156;284;4;53;
RS;431507;PORTO VERA CRUZ;10;11;11;13;0;
RS;430465;CAPÃO DO CIPÓ;43;43;54;10;22;
RS;431349;NOVO BARREIRO;69;67;261;13;12;
RS;430240;BOM RETIRO DO SUL;273;272;900;49;189;
RS;430730;ERVAL SECO;82;79;50;10;0;
RS;431244;MORRINHOS DO SUL;50;45;106;37;0;
RS;430595;COTIPORÃ;29;28;192;17;31;
RS;430960;HORIZONTINA;21;20;25;10;63;
RS;430880;GENERAL CÂMARA;125;126;314;3;89;
RS;431861;SÃO JOSÉ DO SUL;14;14;217;0;16;
RS;431270;NONOAI;335;342;598;79;135;
RS;430780;ESTRELA;830;820;2.490;109;716;
RS;431937;SÃO PEDRO DO BUTIÁ;19;19;40;27;1;
RS;431339;NOVO CABRAIS;40;40;79;4;13;
RS;432030;SELBACH;77;77;166;5;15;
RS;432035;SENTINELA DO SUL;51;50;112;5;18;
RS;431262;MULITERNO;22;22;40;7;3;
RS;432085;TABAÍ;88;80;137;32;51;
RS;430587;CORONEL BARROS;12;8;14;10;8;
RS;431442;PICADA CAFÉ;49;45;126;4;1;
RS;430003;ACEGUÁ;148;144;330;59;12;
RS;431120;JÚLIO DE CASTILHOS;322;317;967;32;191;
RS;430805;FAXINALZINHO;6;4;20;14;3;
RS;431123;LAGOA BONITA DO SUL;28;28;48;24;0;
RS;431033;IMBÉ;292;304;1.375;30;135;
RS;431085;JABOTICABA;2;1;8;0;12;
RS;431344;NOVO TIRADENTES;15;14;23;7;2;
RS;431335;NOVA ROMA DO SUL;9;9;25;20;0;
RS;430055;ALTO ALEGRE;10;5;12;4;0;
RS;430720;ERVAL GRANDE;13;12;34;5;10;
RS;430100;ARROIO DO MEIO;660;635;2.062;147;187;
RS;432250;VACARIA;1.132;1.092;2.659;25;2.359;
RS;432195;TRINDADE DO SUL;183;184;215;2;0;
RS;431750;SANTO ÂNGELO;784;776;3.582;48;455;
RS;431110;JAGUARI;48;50;246;29;1;
RS;432147;TIRADENTES DO SUL;13;13;36;3;0;
RS;430185;BARRA DO GUARITA;2;2;0;3;0;
RS;430370;CAMPINA DAS MISSÕES;57;59;157;17;0;
RS;431320;NOVA PETRÓPOLIS;159;153;411;6;67;
RS;431755;SANTO ANTÔNIO DO PALMA;59;58;101;9;0;
RS;430750;ESPUMOSO;261;261;692;2;37;
RS;431870;SÃO LEOPOLDO;1.916;1.872;7.943;71;3.690;
RS;430957;HERVEIRAS;64;64;56;29;13;
RS;431030;ILÓPOLIS;13;14;69;5;24;
RS;431346;NOVO XINGU;21;21;18;2;1;
RS;431160;LIBERATO SALZANO;75;75;133;27;1;
RS;430160;BAGÉ;1.564;1.533;2.439;97;51;
RS;431020;IJUÍ;1.418;1.400;5.130;33;1.471;
RS;430635;DEZESSEIS DE NOVEMBRO;16;16;79;9;3;
RS;432360;VISTA ALEGRE DO PRATA;25;27;59;11;0;
RS;431700;SANTANA DA BOA VISTA;2;1;5;3;6;
RS;430640;DOIS IRMÃOS;471;449;2.475;60;151;
RS;431960;SÃO SEPÉ;148;143;1.017;23;117;
RS;431250;MOSTARDAS;179;174;300;12;108;
RS;431610;RONDA ALTA;88;90;151;11;13;
RS;430670;DONA FRANCISCA;17;17;38;5;14;
RS;430885;GENTIL;51;48;170;15;8;
RS;432300;VIAMÃO;1.849;1.759;6.045;334;2.399;
RS;430680;ENCANTADO;396;386;2.194;5;226;
RS;430090;ARATIBA;40;36;211;23;0;
RS;431580;ROCA SALES;234;230;758;37;99;
RS;430607;CRISTAL DO SUL;45;44;39;13;5;
RS;431430;PEJUÇARA;23;22;78;25;7;
RS;432032;SENADOR SALGADO FILHO;93;93;126;43;11;
RS;431140;LAJEADO;2.766;2.717;13.786;194;1.751;
RS;431460;PIRATINI;105;104;114;9;41;
RS;430005;ÁGUA SANTA;41;41;73;3;49;
RS;431740;SANTIAGO;392;391;1.067;6;184;
RS;430845;FORTALEZA DOS VALOS;108;108;232;26;12;
RS;430130;ARROIO GRANDE;182;182;410;11;17;
RS;430467;CAPIVARI DO SUL;82;86;497;27;0;
RS;432254;VALE REAL;25;23;75;1;32;
RS;431050;IRAÍ;80;79;132;14;0;
RS;432150;TORRES;1.777;1.738;2.845;134;213;
RS;431055;ITACURUBI;17;17;28;2;2;
RS;430693;ENTRE-IJUÍS;6;6;258;11;38;
RS;431087;JACUIZINHO;15;16;18;7;1;
RS;431980;SÃO VICENTE DO SUL;67;69;414;10;51;
RS;431303;NOVA ESPERANÇA DO SUL;28;25;90;6;0;
RS;431630;ROQUE GONZALES;32;31;70;21;1;
RS;430660;DOM PEDRITO;778;751;1.387;19;575;
RS;431645;SALTO DO JACUÍ;234;227;1.402;52;29;
RS;432280;VERANÓPOLIS;164;166;579;26;188;
RS;432260;VENÂNCIO AIRES;650;632;4.993;38;1.092;
RS;431990;SAPIRANGA;1.072;1.070;4.928;86;1.382;
RS;432252;VALE VERDE;66;63;134;15;17;
RS;430673;DOUTOR MAURÍCIO CARDOSO;87;86;1;41;0;
RS;431845;SÃO JOSÉ DAS MISSÕES;63;62;223;12;14;
RS;432160;TRAMANDAÍ;314;306;4.468;18;321;
RS;432023;SEDE NOVA;69;68;155;6;0;
RS;431800;SÃO BORJA;1.037;996;6.016;57;2;
RS;431065;ITATI;19;18;51;2;7;
RS;431247;MORRO REUTER;63;68;431;0;3;
RS;431912;SÃO MARTINHO DA SERRA;14;12;31;1;14;
RS;431170;MACHADINHO;48;45;134;48;2;
RS;430915;GRAMADO XAVIER;71;68;97;32;13;
RS;431590;RODEIO BONITO;113;110;84;6;0;
RS;432285;VESPASIANO CORREA;36;35;70;20;0;
RS;431175;MANOEL VIANA;30;31;103;4;41;
RS;431177;MAQUINÉ;92;86;174;8;2;
RS;431330;NOVA PRATA;171;168;572;5;38;
RS;431040;INDEPENDÊNCIA;26;26;27;43;14;
RS;430940;GUAPORÉ;212;211;543;14;1;
RS;432255;VANINI;14;13;226;5;0;
RS;430597;COXILHA;60;51;183;24;1;
RS;431445;PINHAL;67;66;128;2;0;
RS;431540;REDENTORA;92;92;167;20;18;
RS;430468;CAPELA DE SANTANA;153;152;252;1;10;
RS;430225;BOA VISTA DO SUL;25;26;64;0;7;
RS;432120;TAQUARA;306;331;1.452;58;1.314;
RS;432370;VISTA GAÚCHA;27;26;33;1;3;
RS;430905;GLORINHA;61;60;180;15;0;
RS;430545;CIDREIRA;259;235;540;15;124;
RS;432380;XANGRI-LÁ;229;229;678;3;171;
RS;430250;BOSSOROCA;106;109;327;12;35;
RS;430511;CENTENÁRIO;11;7;0;1;0;
RS;432135;TAVARES;119;119;154;8;0;
RS;430110;ARROIO DOS RATOS;115;102;434;5;62;
RS;431113;JARI;8;11;29;35;0;
RS;430650;DOM FELICIANO;205;204;439;72;69;
RS;431173;MAMPITUBA;46;42;35;3;2;
RS;430057;ALTO FELIZ;33;33;89;16;2;
RS;430195;BARRA FUNDA;104;103;135;22;0;
RS;431164;LINHA NOVA;27;27;71;18;12;
RS;432055;SERTÃO SANTANA;43;35;706;10;0;
RS;430175;BARÃO DO TRIUNFO;50;50;87;4;1;
RS;431413;PAULO BENTO;14;13;18;1;8;
RS;431403;PARECI NOVO;1;1;40;1;13;
RS;432230;TUPARENDI;36;33;122;17;1;
RS;430520;CERRO LARGO;121;120;251;18;5;
RS;430825;FLORIANO PEIXOTO;19;19;50;8;0;
RS;432057;SETE DE SETEMBRO;23;22;39;9;0;
RS;430692;ENGENHO VELHO;8;8;24;2;0;
RS;432162;TRAVESSEIRO;48;46;201;4;3;
RS;431415;PAVERAMA;183;175;694;35;95;
RS;431265;NÃO-ME-TOQUE;163;157;406;15;82;
RS;431642;SAGRADA FAMÍLIA;49;49;72;20;0;
RS;430830;FONTOURA XAVIER;82;83;162;16;30;
RS;430613;CRUZALTENSE;2;2;2;2;0;
RS;431130;LAGOA VERMELHA;595;593;1.501;29;366;
RS;430843;FORQUETINHA;11;11;34;1;0;
RS;430320;CACIQUE DOBLE;8;8;74;2;22;
RS;430690;ENCRUZILHADA DO SUL;471;287;523;39;12;
RS;431267;NICOLAU VERGUEIRO;0;0;0;4;0;
RS;431225;MINAS DO LEÃO;39;38;29;4;2;
RS;430045;ALEGRIA;51;51;69;14;0;
RS;430550;CIRÍACO;25;25;38;14;50;
RS;431725;SANTA TEREZA;1;0;1;3;0;
RS;430300;CACHOEIRA DO SUL;869;804;2.128;31;136;
RS;431390;PANAMBI;857;837;2.012;189;172;
RS;431850;SÃO JOSÉ DO NORTE;0;0;736;6;254;
RS;430180;BARRACÃO;40;40;304;2;39;
RS;430205;BENJAMIN CONSTANT DO SUL;1;1;5;2;1;
RS;430697;EREBANGO;89;89;136;12;18;
RS;430070;ANTA GORDA;101;100;224;28;29;
RS;431595;ROLADOR;49;49;80;40;0;
RS;431205;MARQUES DE SOUZA;68;67;157;0;0;
RS;431790;SANTO CRISTO;262;256;455;78;34;
RS;430745;ESPERANÇA DO SUL;71;71;87;1;1;
RS;430930;GUAÍBA;1.120;1.000;4.150;27;1.618;
RS;432163;TRÊS ARROIOS;0;0;9;4;0;
RS;431920;SÃO NICOLAU;54;52;90;1;0;
RS;431849;SÃO JOSÉ DO INHACORÁ;24;20;55;11;0;
RS;432067;SINIMBU;126;127;219;22;60;
RS;431417;PEDRAS ALTAS;21;22;41;3;3;
RS;430583;COQUEIRO BAIXO;42;41;230;20;2;
RS;431531;QUATRO IRMÃOS;7;7;22;5;0;
RS;431570;RIO PARDO;340;320;967;14;0;
RS;431454;PINTO BANDEIRA;17;17;36;5;20;
RS;430485;CARLOS GOMES;9;5;8;7;0;
RS;430222;BOA VISTA DO CADEADO;65;64;93;7;4;
RS;431162;LINDOLFO COLLOR;146;147;417;1;2;
RS;430910;GRAMADO;785;771;1.832;70;119;
RS;431935;SÃO PEDRO DA SERRA;66;67;179;17;31;
RS;431057;ITAPUCA;43;41;55;1;15;
RS;430310;CACHOEIRINHA;1.357;1.287;4.999;98;1.791;
RS;431036;IMIGRANTE;39;34;243;9;26;
RS;431532;QUEVEDOS;24;24;45;21;39;
RS;431125;LAGOÃO;92;92;42;3;4;
RS;430675;DOUTOR RICARDO;37;37;202;9;11;
RS;431560;RIO GRANDE;0;27;5.527;43;447;
RS;430460;CANOAS;3.755;3.732;11.100;472;8.365;
RS;430430;CÂNDIDO GODÓI;122;125;199;41;0;
RS;431449;PINHEIRINHO DO VALE;82;83;99;22;0;


Fonte: Sistema de Informação em Saúde para a Atenção Básica - SISAB;
Dado gerado em: 29 de Abril de 2025 - 12:43h
